Clémentine,1,100326,5498,1
Vénus,1,100480,5357,1
Dù,2,55175,3152,1
Maïté,2,55550,3057,1
Léane,2,55438,3327,1
Crééz,3,2186,2603,1
Noémie,3,2210,2999,1
Alizée,3,2452,2732,1
Pò,3,2378,2772,1
Méthode,3,2970,2594,1
Aimée,4,7822,1441,1
Noémie,5,6813,759,1
Sélène,6,1512,617,1
Laïla,6,1448,624,1
Gaïa,6,938,576,1
Océanne,6,1348,752,1
Ráo,1,100100,5191,2
Angélique,1,100502,5052,2
Méline,3,2313,2897,2
Liè,3,2663,2905,2
Maëlys,3,2450,2641,2
Mélissandre,4,7341,1478,2
Cléopatre,4,7930,1412,2
Géraldine,4,7879,1343,2
Marlène,5,6327,572,2
Lauréna,5,6369,741,2
Stéphanie,5,6252,855,2
Josée,5,6485,880,2
Åsa,5,6403,556,2
Léonore,5,6325,983,2
Laurène,6,832,529,2
Rébecca,6,1359,891,2
Illustrée,6,795,781,2
Annotée,1,100300,5426,3
Mélinda,2,55849,3478,3
Maëlyss,2,55270,3228,3
Mårten,2,55130,3164,3
Marylène,3,2646,2790,3
Laurélie,3,2651,2626,3
Françoise,3,2568,2741,3
Dorothée,4,7327,1083,3
Séréna,4,7551,1176,3
Erwéi,4,7457,1465,3
Lauréna,4,7224,1166,3
Personnalisée,4,7111,1115,3
Adélaïde,5,6495,828,3
Océanne,5,6235,598,3
Méthode,6,1260,735,3
Andréa,6,1274,510,3
Publicité,6,1164,473,3
Bérengère,6,1200,772,3
Mahélie,6,1260,724,3
Marie-josée,1,100941,5172,4
Wá,1,100816,5088,4
Médiamass,1,100671,5249,4
Gösta,1,100390,5394,4
Mélanie,1,100691,5208,4
Médiamass,1,100537,5411,4
Salomé,1,100394,5072,4
Bécassine,2,55630,3279,4
Personnalisée,2,55647,3127,4
Françoise,2,55355,3314,4
Méthode,2,55639,3194,4
Réjane,2,55903,3208,4
Ráo,2,55498,3384,4
Néhémie,2,55605,3498,4
Lèi,2,55899,3500,4
Néhémie,3,2757,2862,4
Marylène,3,2528,2674,4
Cécilia,3,2306,2642,4
Lèi,4,7911,1273,4
Intéressant,4,7761,1055,4
Anaël,4,7729,1260,4
Jú,5,6572,558,4
Mén,5,6469,853,4
Uò,5,6458,631,4
Personnalisée,6,1528,734,4
Ruò,6,1255,728,4
Maïlys,6,1108,516,4
Zhì,6,1417,545,4
Loïc,1,100357,5270,5
Maëly,1,100263,5233,5
Laïla,1,100635,5499,5
Loïs,1,100997,5201,5
Pò,1,100964,5487,5
Simplifiés,2,55134,3457,5
Marie-josée,2,55152,3148,5
Dà,2,55354,3062,5
Liè,3,2487,2987,5
Aí,4,7540,1084,5
Eugénie,4,7560,1067,5
Aloïs,4,7911,1191,5
Marie-françoise,4,7926,1157,5
Athéna,5,6388,681,5
Vénus,5,6474,951,5
Athéna,5,6379,743,5
Athéna,5,6826,763,5
Naéva,5,6887,808,5
Maïlys,6,1480,676,5
Nadège,6,1057,725,5
